monster,cr
Ape,0.5
Black bear,0.5
Cockatrice,0.5
Crocodile,0.5
Darkmantle,0.5
Dust Mephit,0.5
Giant Goat,0.5
Giant Sea Horse,0.5
Giant Wasp,0.5
Gnoll,0.5
"Gnome, Deep (Svirfneblin)",0.5
Gray Ooze,0.5
Hobgoblin,0.5
Ice Mephit,0.5
Lizardfolk,0.5
Magma Mephit,0.5
Magmin,0.5
Orc,0.5
Reef Shark,0.5
Rust Monster,0.5
Sahuagin,0.5
Satyr,0.5
Scout,0.5
Shadow,0.5
Swarm of Insects,0.5
Thug,0.5
Warhorse,0.5
Warhorse Skeleton,0.5
Worg,0.5
Animated Armor,1
Brass Dragon Wyrmling,1
Brown Bear,1
Bugbear,1
Copper Dragon Wyrmling,1
Death Dog,1
Dire Wolf,1
Dryad,1
Duergar,1
Ghoul,1
Giant Eagle,1
Giant Hyena,1
Giant Octopus,1
Giant Spider,1
Giant Toad,1
Giant Vulture,1
Harpy,1
Hippogriff,1
Imp,1
Lion,1
Quasit,1
Specter,1
Spy,1
Swarm of Quippers,1
Tiger,1
Ankheg,2
Awakened Tree,2
Azer,2
Bandit Captain,2
Berserker,2
Black Dragon Wyrmling,2
Bronze Dragon Wyrmling,2
Centaur,2
Cult Fanatic,2
Druid,2
Ettercap,2
Gargoyle,2
Gelatinous Cube,2
Ghast,2
Giant Boar,2
Giant Constrictor Snake,2
Giant Elk,2
Gibbering Mouther,2
Green Dragon Wyrmling,2
Grick,2
Griffon,2
Hunter Shark,2
Merrow,2
Mimic,2
Minotaur Skeleton,2
Ochre Jelly,2
Ogre,2
Ogre Zombie,2
Pegasus,2
Plesiosaurus,2
Polar Bear,2
Priest,2
Rhinoceros,2
Rug of Smothering,2
Saber-Toothed Tiger,2
Sea Hag,2
Silver Dragon Wyrmling,2
Swarm of Poisonous Snakes,2
Wererat,2
White Dragon Wyrmling,2
Will-o'-Wisp,2
Basilisk,3
Bearded Devil,3
Blue Dragon Wyrmling,3
Doppelganger,3
Giant Scorpion,3
Gold Dragon Wyrmling,3
Green Hag,3
Hell Hound,3
Killer Whale,3
Knight,3
Manticore,3
Minotaur,3
Mummy,3
Nightmare,3
Owlbear,3
Phase Spider,3
Veteran,3
Werewolf,3
Wight,3
Winter Wolf,3
Black Pudding,4
Chuul,4
Couatl,4
Elephant,4
Ettin,4
Ghost,4
Lamia,4
Red Dragon Wyrmling,4
Succubus/Incubus,4
Wereboar,4
Weretiger,4
Air Elemental,5
Barbed Devil,5
Bulette,5
Earth Elemental,5
Fire Elemental,5
Flesh Golem,5
Giant Crocodile,5
Giant Shark,5
Gladiator,5
Gorgon,5
Half-Red Dragon Veteran,5
Hill Giant,5
Night Hag,5
Otyugh,5
Roper,5
Salamander,5
Shambling Mound,5
Triceratops,5
Troll,5
Unicorn,5
Vampire Spawn,5
Water Elemental,5
Werebear,5
Wraith,5
Xorn,5
Chimera,6
Drider,6
Invisible Stalker,6
Mage,6
Mammoth,6
Medusa,6
Vrock,6
Wyvern,6
Young Brass Dragon,6
Young White Dragon,6
Giant Ape,7
Oni,7
Shield Guardian,7
Stone Giant,7
Young Black Dragon,7
Young Copper Dragon,7
Assassin,8
Chain Devil,8
Cloaker,8
Frost Giant,8
Hezrou,8
Hydra,8
Spirit Naga,8
Tyrannosaurus Rex,8
Young Bronze Dragon,8
Young Green Dragon,8
Bone Devil,9
Clay Golem,9
Cloud Giant,9
Fire Giant,9
Glabrezu,9
Treant,9
Young Blue Dragon,9
Young Silver Dragon,9
Aboleth,10
Deva,10
Guardian Naga,10
Stone Golem,10
Young Gold Dragon,10
Young Red Dragon,10
Behir,11
Djinni,11
Efreeti,11
Gynosphinx,11
Horned Devil,11
Remorhaz,11
Roc,11
Archmage,12
Erinyes,12
Adult Brass Dragon,13
Adult White Dragon,13
Nalfeshnee,13
Rakshasa,13
Storm Giant,13
Vampire,13
Adult Black Dragon,14
Adult Copper Dragon,14
Ice Devil,14
Adult Bronze Dragon,15
Adult Green Dragon,15
Mummy Lord,15
Purple Worm,15
Adult Blue Dragon,16
Adult Silver Dragon,16
Iron Golem,16
Marilith,16
Planetar,16
Adult Gold Dragon,17
Adult Red Dragon,17
Androsphinx,17
Dragon Turtle,17
Balor,19
Ancient Brass Dragon,20
Ancient White Dragon,20
Pit Fiend,20
Ancient Black Dragon,21
Ancient Copper Dragon,21
Lich,21
Solar,21
Ancient Bronze Dragon,22
Ancient Green Dragon,22
Ancient Blue Dragon,23
Ancient Silver Dragon,23
Kraken,23
Ancient Gold Dragon,24
Ancient Red Dragon,24
Tarrasque,30
Acolyte,0.25
Axe Beak,0.25
Blink Dog,0.25
Boar,0.25
Constrictor Snake,0.25
Draft Horse,0.25
Dretch,0.25
"Elf, Drow",0.25
Elk,0.25
Flying Sword,0.25
Giant Badger,0.25
Giant Bat,0.25
Giant Centipede,0.25
Giant Frog,0.25
Giant Lizard,0.25
Giant Owl,0.25
Giant Poisonous Snake,0.25
Giant Wolf Spider,0.25
Goblin,0.25
Grimlock,0.25
Panther,0.25
Pseudodragon,0.25
Riding Horse,0.25
Skeleton,0.25
Sprite,0.25
Steam Mephit,0.25
Swarm of Bats,0.25
Swarm of Rats,0.25
Swarm of Ravens,0.25
Violet Fungus,0.25
Wolf,0.25
Zombie,0.25
,
,
